Command Name Abbreviation,Command Name Long,Record Status
BN CRIME ANL                                                ,BN CRIME ANALYSIS UNIT,Active
BN GRAND LARC                                               ,BROOKLYN NORTH GRAND LARCENY SQD,Active
BN IRT                                                      ,NA,Inactive
BN OP NIGHT                                                 ,BROOKLYN NORTH OPER NIGHT WATCH,Active
BN SU ECT                                                   ,BN EVIDENCE COLLECTION TEAM,Active
BN VICE                                                     ,BKLYN NORTH VICE MODULE,Active
BN WARR SQD                                                 ,BKLYN NORTH WARRANT SQUAD,Active
BNNARCD                                                     ,NA,Inactive
BOMB SQ                                                     ,BOMB SQUAD,Active
BS CRIME ANL                                                ,BS CRIME ANALYSIS UNIT,Active
BS GRAND LARC                                               ,BROOKLYN SOUTH GRAND LARCENY SQD,Active
BS IRT                                                      ,NA,Inactive
BS OP NIGHT                                                 ,BROOKLYN SOUTH OPER NIGHT WATCH,Active
BS SU ECT                                                   ,BS EVIDENCE COLLECTION TEAM,Active
BS VICE                                                     ,BKLYN SOUTH VICE MODULE,Active
BS WARRANT SQD                                              ,BROOKLYN SOUTH WARRANT SQD,Active
BUS UT                                                      ,NA,Inactive
BUSINESS INTGRTY                                            ,CEIS BUSINESS INTEGRITY COM,Active
BX APP TEAM                                                 ,BRONX OP APPRHENSION TEAM,Active
BX CB                                                       ,NA,Inactive
BX CHILD                                                    ,BRONX CHILD ABUSE SQUAD,Active
BX COURT                                                    ,BRONX COURT SECT,Active
BX CRIME ANL                                                ,BX CRIME ANALYSIS UNIT,Active
BX CT                                                       ,NA,Inactive
BX GRAND LARC                                               ,BRONX GRAND LARCENY SQD,Active
BX IRT                                                      ,NA,Inactive
BX OP NIGHT                                                 ,BRONX OPER NIGHT WATCH,Active
BX SU ALU                                                   ,BX AUTO LARCENY UNIT,Active
BX SU ECT                                                   ,BX EVIDENCE COLLECTION TEAM,Active
BX SVS                                                      ,BRONX SPECIAL VICTIMS SQUAD,Active
BX TRAN ROB                                                 ,BRONX TRANSIT ROBBERY SQUAD,Active
BX VICE                                                     ,BRONX VICE MODULE,Active
BX WARRANT SQD                                              ,BRONX WARRANT SQD,Active
BX/N-ND                                                     ,NA,Inactive
BX/Q IM                                                     ,NA,Inactive
BX/S-ND                                                     ,NA,Inactive
BXD CID                                                     ,NA,Inactive
BXROBSQ                                                     ,BRONX ROBBERY SQUAD,Active
C A B                                                       ,NA,Inactive
C A D                                                       ,NA,Inactive
C C A S                                                     ,NA,Inactive
C C SQD                                                     ,COLD CASE SQUAD,Active
C D D                                                       ,NA,Inactive
C E D                                                       ,NA,Inactive
C O B                                                       ,NA,Inactive
C O D                                                       ,NA,Inactive
C O S U                                                     ,NA,Inactive
C R C                                                       ,NA,Inactive
C S O                                                       ,NA,Inactive
C SCENE                                                     ,CRIME SCENE UNIT,Active
C TERR                                                      ,NA,Inactive
C/PRV D                                                     ,NA,Inactive
C/SCENE                                                     ,NA,Inactive
CA JVJD                                                     ,NA,Inactive
CA SECT                                                     ,NA,Inactive
CA/CP D                                                     ,NA,Inactive
CAB                                                         ,COMMUNITY AFFAIRS BUREAU,Active
CAB COD                                                     ,COMMUNITY OUTREACH DIVISION,Active
CAB INV                                                     ,CAB INVESTIGATIONS UNIT,Active
CAD CAS                                                     ,CHARACTER ASSESSMENT SECTION,Active
CAD MAS                                                     ,CAD MEDICAL ASSESSMENT SECTION,Active
CAD PAS                                                     ,CAD PSYCH ASSESSMENT SECTION,Active
CAD RECRUIT                                                 ,CAD RECRUITMENT SECTION,Active
CADET CORPS                                                 ,POLICE CADET CORPS UNIT,Active
CAPITAL CONST                                               ,CAPITAL CONSTRUCTION UNIT,Active
CCCS                                                        ,CHIEF CRIME CONTROL STRATEGIES,Active
CCCS DLU                                                    ,CCCS DISCOVERY LIAISON UNIT,Active
CD C&C                                                      ,NA,Inactive
CD EPES                                                     ,NA,Inactive
CD IRS                                                      ,NA,Inactive
CD OFF                                                      ,CHIEF OF DEPARTMENT,Active
CD OP/D                                                     ,NA,Inactive
CD OP/U                                                     ,NA,Inactive
CEIS BES TF                                                 ,CEIS BORDER ENFORCEMENT SEC TASK FORCE,Active
CEN REC                                                     ,NA,Inactive
CENROBB                                                     ,NA,Inactive
CENTRAL REC                                                 ,CENTRAL RECORDS DIV,Active
CEREMONIAL                                                  ,CEREMONIAL UNIT,Active
CH S IN                                                     ,NA,Inactive
CHANGE MGMT                                                 ,DCSI CHANGE MANAGEMENT OFFICE,Active
CHAPLAINS                                                   ,CHAPLAINS UNIT,Active
CI&RDIV                                                     ,NA,Inactive
CID ADMIN                                                   ,CID ADMINISTRATION,Active
CID CRIME STOP                                              ,CID CRIME STOPPERS UNIT,Active
CID TACTICAL TRN                                            ,CID TACTICAL TRAINING,Active
CIV HIRING                                                  ,CIVILIAN HIRING UNIT,Active
CJB                                                         ,CRIMINAL JUSTICE BUREAU,Active
CJB INV                                                     ,CJB INVESTIGATIONS UNIT,Active
CMD LVL TRN                                                 ,TRN BUR CMD LVL TRAINING SECT,Active
CMU 01                                                      ,COURT MONITORING UNIT 1 (MAN/BK/SI),Active
CMU 02                                                      ,COURT MONITORING UNIT 2 (BX/QNS/TLC),Active
CO RESPONSE                                                 ,CO RESPONSE UNIT,Active
CO TR                                                       ,NA,Inactive
COD                                                         ,CHIEF OF DEPARTMENT OFFICE,Active
COD BUSINESS                                                ,BUSINESS DIST RECOVERY INIT DTL,Active
COD DVIU                                                    ,DOMESTIC VIOLENCE INSP. UNIT,Active
COD DVU                                                     ,COD DOMESTIC VIOLENCE UNIT,Active
COD LIAISON                                                 ,COD LIAISON UNIT,Active
COD SAS                                                     ,NA,Inactive
COL POL                                                     ,NA,Inactive
COMM DIV                                                    ,COMMUNICATIONS DIV,Active
COMMDIV                                                     ,NA,Inactive
COMMSEC                                                     ,NA,Inactive
COMP CRIMES                                                 ,SID COMPUTER CRIMES,Active
COMPSTAT ANL                                                ,COMPSTAT ANALYTICAL UNIT,Active
CON ADM                                                     ,NA,Inactive
CONTRACT ADM                                                ,CONTRACT ADMIN PROCUREMENT DIVISION,Active
CP YSU                                                      ,DCCPART YOUTH STRATEGIES UNIT,Active
CPK DET                                                     ,CENTRAL PK DET SQ,Active
CPK PCT                                                     ,CENTRAL PARK PRECINCT,Active
CR PREV                                                     ,NA,Inactive
CRC                                                         ,CRITICAL RESPONSE COMMAND,Active
CRC CANINE                                                  ,CRC CANINE UNIT,Active
CRD SPARTA                                                  ,CRD SPARTA GROUP,Active
CREATIVE SERV                                               ,CREATIVE SERVICES SECTION,Active
CRIM ENTERPR                                                ,CRIMINAL ENTERPRISE DIVISION,Active
CRJ BUR                                                     ,NA,Inactive
CRM CTL                                                     ,NA,Inactive
CRM REC                                                     ,NA,Inactive
CRS/AU                                                      ,NA,Inactive
CSO                                                         ,CHIEF OF SPECIAL OPERATIONS,Active
CSO INV                                                     ,CSO INVESTIGATIONS UNIT,Active
CT BUR                                                      ,COUNTERTERRORISM BUREAU,Active
CT DIV                                                      ,COUNTERTERRORISM DIVISION,Active
CT EPES                                                     ,NA,Inactive
CT LMSI                                                     ,LOWER MANHATTAN SECURITY INITIATIVE,Active
CT UNIT                                                     ,CITYWIDE COUNTERTERRORISM UNIT,Active
CTB INV UNIT                                                ,CTB INVESTIGATIONS UNIT,Active
CTERRDV                                                     ,NA,Inactive
CW T TF                                                     ,NA,Inactive
CW TRAFF TF                                                 ,TRB CITYWIDE TRAFFIC T/F,Active
D C C A                                                     ,NA,Inactive
D C L M                                                     ,NA,Inactive
D C M B                                                     ,NA,Inactive
D C P I                                                     ,DEP COMM PUBLIC INFORMATION,Active
D C TRL                                                     ,NA,Inactive
D-E T/F                                                     ,NA,Inactive
D.A.R.E                                                     ,NA,Inactive
DA BKLN                                                     ,DA SQUAD BROOKLYN,Active
DA BKN                                                      ,NA,Inactive
DA BX                                                       ,DA SQUAD BRONX,Active
DA NY                                                       ,NA,Inactive
DA QNS                                                      ,DA SQUAD QUEENS,Active
DA S/I                                                      ,NA,Inactive
DA SI                                                       ,NA,Inactive
DA SQD NY                                                   ,DA SQ NY COUNTY,Active
DA SQD SI                                                   ,DA SQUAD SI,Active
DB BCIU                                                     ,NA,Inactive
DB BIAS                                                     ,NA,Inactive
DB BKLN                                                     ,NA,Inactive
DB BNHM                                                     ,DET BORO BKLYN NO HOMICIDE SQ,Active
DB BSHM                                                     ,DET BORO BKLYN SO HOMICIDE SQ,Active
DB BSVS                                                     ,NA,Inactive
DB BX                                                       ,NA,Inactive
DB BXHM                                                     ,DET BORO BX HOMICIDE SQ,Active
DB BXSV                                                     ,NA,Inactive
DB CED                                                      ,NA,Inactive
DB CEIS                                                     ,CRIMINAL ENTERPRISE INVEST SEC,Active
DB CID                                                      ,NA,Inactive
DB CRD                                                      ,CENTRAL ROBBERY DIVISION,Active
DB FCTF                                                     ,FINANCIAL CRIMES TASK FORCE,Active
DB FED                                                      ,FUGITIVE ENFORCEMENT DIVISION,Active
DB FID                                                      ,FORENSIC INVESTIGATIONS DIV,Active
DB GLD                                                      ,GRAND LARCENY DIVISION,Active
DB GVSD                                                     ,GUN VIOLENCE SUPPRESSION DIVISION,Active
DB HATE                                                     ,HATE CRIME TASK FORCE,Active
DB INV SUPP                                                 ,DB INVESTIGATIVE SUPPORT,Active
DB INV UNIT                                                 ,DB INVESTIGATIONS UNIT,Active
DB LPS                                                      ,LATENT PRINT SECTION,Active
DB MAN                                                      ,NA,Inactive
DB MCID                                                     ,NA,Inactive
DB MNHM                                                     ,DET BORO MAN NO HOMICIDE SQ,Active
DB MSHM                                                     ,DET BORO MAN SO HOMICIDE SQ,Active
DB MSVS                                                     ,NA,Inactive
DB O&IT                                                     ,NA,Inactive
DB QNHM                                                     ,DET BORO QNS NORTH HOMICIDE SQ,Active
DB QNS                                                      ,NA,Inactive
DB QSVS                                                     ,NA,Inactive
DB RTCC                                                     ,NA,Inactive
DB SI                                                       ,NA,Inactive
DB SID                                                      ,SPECIAL INVESTIGATIONS DIV,Active
DB SPEC ENF DIV                                             ,DB SPECIALTY ENFORCEMENT DIVISION,Active
DB SVD                                                      ,SPECIAL VICTIMS DIVISION,Active
DB TSIU                                                     ,DB TRANSIT SPECIAL INV UNIT,Active
DBBKZ10                                                     ,NA,Inactive
DBBKZ11                                                     ,NA,Inactive
DBBKZ12                                                     ,NA,Inactive
DBBKZ13                                                     ,NA,Inactive
DBBKZ14                                                     ,NA,Inactive
DBBKZ21                                                     ,NA,Inactive
DBBKZ22                                                     ,NA,Inactive
DBBN                                                        ,DET BORO BROOKLYN NORTH,Active
DBBN OP                                                     ,DET BORO BKLYN NORTH OPER,Active
DBBS                                                        ,DET BORO BKLYN SOUTH,Active
DBBS OP                                                     ,DET BORO BKLYN SOUTH OPER,Active
DBBX                                                        ,DET BORO BRONX,Active
DBBX OP                                                     ,DET BORO BRONX OPER,Active
DBBX Z8                                                     ,NA,Inactive
DBBX Z9                                                     ,DET BORO BRONX ZONE #9,Active
DBCR Z1                                                     ,NA,Inactive
DBM ZN1                                                     ,DET BORO MANHATTAN ZONE #1,Active
DBM ZN2                                                     ,DET BORO MANHATTAN ZONE #2,Active
DBM ZN4                                                     ,NA,Inactive
DBM ZN5                                                     ,DET BORO MANHATTAN ZONE #5,Active
DBM ZN6                                                     ,DET BORO MANHATTAN ZONE #6,Active
DBMN                                                        ,DET BORO MANHATTAN NORTH,Active
DBMN OP                                                     ,DET BORO MAN NORTH OPER,Active
DBMNHTF                                                     ,NA,Inactive
DBMS                                                        ,DET BORO MANHATTAN SOUTH,Active
DBMS OP                                                     ,DET BORO MAN SOUTH OPER,Active
DBQ Z16                                                     ,DET BORO QUEENS ZONE #16,Active
DBQ Z17                                                     ,NA,Inactive
DBQ Z24                                                     ,NA,Inactive
DBQN                                                        ,DET BORO QUEENS NORTH,Active
DBQN OP                                                     ,DET BORO QNS NORTH OPER,Active
DBQS                                                        ,DET BORO QUEENS SOUTH,Active
DBQS OP                                                     ,DET BORO QNS SOUTH OPER,Active
DBSI                                                        ,DET BORO STATEN ISLAND,Active
DBSI OP                                                     ,NA,Inactive
DBSV Z1                                                     ,NA,Inactive
DBSV Z2                                                     ,NA,Inactive
DBSV Z3                                                     ,NA,Inactive
DC ADV                                                      ,NA,Inactive
DC C TR                                                     ,NA,Inactive
DC DAO                                                      ,NA,Inactive
DC EEO                                                      ,NA,Inactive
DC INT                                                      ,NA,Inactive
DC IT                                                       ,NA,Inactive
DC LABR                                                     ,NA,Inactive
DC MAP                                                      ,NA,Inactive
DC OPER                                                     ,NA,Inactive
DC TRIALS                                                   ,DEP COMM TRIALS,Active
DC TRL                                                      ,NA,Inactive
DC TRNG                                                     ,NA,Inactive
DCCPART                                                     ,DEP COMM COMMUNITY PARTNERSHIPS,Active
DCDAO                                                       ,DEP COMM DEPARTMENT ADVOCATE,Active
