Command Name Abbreviation,Command Name Long,Record Status
TB CAN                                                      ,NA,Inactive
TB CRM ANLYS                                                ,TRANSIT BUREAU CRIME ANALYSIS,Active
TB CW VTF                                                   ,TB CITYWIDE VANDALS TASK FORCE,Active
TB DT01                                                     ,NA,Inactive
TB DT02                                                     ,NA,Inactive
TB DT03                                                     ,NA,Inactive
TB DT04                                                     ,NA,Inactive
TB DT11                                                     ,NA,Inactive
TB DT12                                                     ,NA,Inactive
TB DT20                                                     ,NA,Inactive
TB DT23                                                     ,NA,Inactive
TB DT30                                                     ,NA,Inactive
TB DT32                                                     ,NA,Inactive
TB DT33                                                     ,NA,Inactive
TB DT34                                                     ,NA,Inactive
TB H/O                                                      ,NA,Inactive
TB INV                                                      ,TB INVESTIGATIONS UNIT,Active
TB K9                                                       ,TB CANINE UNIT,Active
TB LIAISON                                                  ,TRANSIT AUTHORITY LIAISON,Active
TB LIAS                                                     ,NA,Inactive
TB M                                                        ,TRANSIT BORO MANHATTAN,Active
TB M TIMES SQ                                               ,TB MANHATTAN TF TIMES SQ INITIATIVE,Active
TB M/TF                                                     ,NA,Inactive
TB MAN TF                                                   ,TRANSIT BORO MAN TASK FORCE,Active
TB MANH                                                     ,NA,Inactive
TB Q/TF                                                     ,NA,Inactive
TB QNS                                                      ,NA,Inactive
TB RESP                                                     ,NA,Inactive
TB SIU                                                      ,NA,Inactive
TB SOD                                                      ,TB SPECIAL OPERATIONS DISTRICT,Active
TB SOU                                                      ,NA,Inactive
TB VAND                                                     ,NA,Inactive
TB VTF                                                      ,NA,Inactive
TC PED                                                      ,NA,Inactive
TD 01 LTP                                                   ,ATU LATE TOUR PATROL TD 1,Active
TD 1                                                        ,TRANSIT DISTRICT 1,Active
TD 11                                                       ,TRANSIT DISTRICT 11,Active
TD 12                                                       ,TRANSIT DISTRICT 12,Active
TD 2                                                        ,TRANSIT DISTRICT 2,Active
TD 20                                                       ,TRANSIT DISTRICT 20,Active
TD 23                                                       ,TRANSIT DISTRICT 23,Active
TD 3                                                        ,TRANSIT DISTRICT 3,Active
TD 30                                                       ,TRANSIT DISTRICT 30,Active
TD 32                                                       ,TRANSIT DISTRICT 32,Active
TD 33                                                       ,TRANSIT DISTRICT 33,Active
TD 34                                                       ,TRANSIT DISTRICT 34,Active
TD 4                                                        ,TRANSIT DISTRICT 4,Active
TD C/AN                                                     ,NA,Inactive
TD DT01                                                     ,NA,Inactive
TD DT02                                                     ,NA,Inactive
TD DT03                                                     ,NA,Inactive
TD DT04                                                     ,NA,Inactive
TD DT11                                                     ,NA,Inactive
TD DT12                                                     ,NA,Inactive
TD DT20                                                     ,NA,Inactive
TD DT23                                                     ,NA,Inactive
TD DT30                                                     ,NA,Inactive
TD DT32                                                     ,NA,Inactive
TD DT33                                                     ,NA,Inactive
TD DT34                                                     ,NA,Inactive
TD H/O                                                      ,NA,Inactive
TD INV                                                      ,NA,Inactive
TD SOU                                                      ,NA,Inactive
TD VAND                                                     ,NA,Inactive
TEL ANALYSIS                                                ,TELEPHONE ANALYSIS UNIT,Active
TNG UNT                                                     ,NA,Inactive
TR/BKTF                                                     ,NA,Inactive
TR/BXTF                                                     ,NA,Inactive
TR/QTF                                                      ,NA,Inactive
TR/STED                                                     ,NA,Inactive
TRAFF ENF DIST                                              ,TRAFFIC ENFORCEMENT DISTRICT,Active
TRAFF MGMT                                                  ,TRAFFIC MANAGEMENT CENTER,Active
TRAFF SAFETY                                                ,TRAFFIC SAFETY FORUM UNIT,Active
TRANSIT SVS                                                 ,SVD TRANSIT SPECIAL VICTIMS SQUAD,Active
TRB OPS                                                     ,TRP BUR OPERATIONS UNIT,Active
TRB TED                                                     ,NA,Inactive
TRB TRF OPS                                                 ,TRAFFIC OPERATIONS DISTRICT,Active
TRDMRK INFRGMT                                              ,CEIS TRADEMARK INFRINGEMENT UNIT,Active
TRF CD                                                      ,NA,Inactive
TRF OPS                                                     ,NA,Inactive
TRF/MTF                                                     ,NA,Inactive
TRIG LOCK                                                   ,TRIGGER LOCK UNIT,Active
TRN BUR                                                     ,TRAINING BUREAU,Active
TRN BUR INV                                                 ,TRAINING BUREAU INV UNIT,Active
TRP BUR                                                     ,TRANSPORTATION BUREAU,Active
TRP BUR INV                                                 ,TRB INVESTIGATIONS UNIT,Active
TV UNIT                                                     ,MOVIE & TV UNIT,Active
UPTU                                                        ,UNIFORMED PROMOTIONS TRN UNIT,Active
VE BK/N                                                     ,NA,Inactive
VE BSSI                                                     ,NA,Inactive
VED BX                                                      ,NA,Inactive
VED M/N                                                     ,NA,Inactive
VED M/S                                                     ,NA,Inactive
VED MCS                                                     ,NA,Inactive
VED Q                                                       ,NA,Inactive
VED ZN1                                                     ,NA,Inactive
VED ZN2                                                     ,VICE ENFORCEMENT DIV ZONE 2,Active
VEHICLE ID                                                  ,VEHICLE IDENTIFICATION UNIT,Active
VICE                                                        ,VICE ENFORCEMENT DIVISION,Active
VICE ED                                                     ,NA,Inactive
VICE MAJOR                                                  ,VICE MAJOR CASE,Active
WAREHOUSE                                                   ,WAREHOUSE SYSTEM,Active
WARRSEC                                                     ,WARRANT SECTION,Active
WTC CMD                                                     ,WORLD TRADE CENTER COMMAND,Active
YOUTH STRAT                                                 ,YOUTH STRATEGIES DIVISION,Active
YTH DIV                                                     ,NA,Inactive
YTH SD                                                      ,NA,Inactive
YTH SS                                                      ,NA,Inactive
